method samples card transparent[12] c_time s_time
0,5,10,3,0,0,0,0,0,0,0,0,0,6,0,3.9800000000000005e-05,4e-06
1,5,10,3,0,3,10,3,10,0,0,0,0,5,0,8.16e-05,2.7400000000000005e-05
2,5,10,4,0,0,0,0,0,1,10,0,0,17,59,0.00017460000000000002,1.6199999999999997e-05
3,5,10,4,0,0,0,0,0,0,0,1,10,5,59,0.0002046,1.5799999999999998e-05
0,5,100,21,0,0,0,0,0,0,0,0,0,7,0,0.0001288,4.4e-06
1,5,100,22,0,7,100,7,100,0,0,0,0,13,0,0.00038859999999999996,3.52e-05
2,5,100,22,0,0,0,0,0,2,110,0,0,29,1162,0.00043959999999999995,2.08e-05
3,5,100,22,0,0,0,0,0,0,0,2,110,10,1168,0.0005352,2.26e-05
0,5,1000,201,0,0,0,0,0,0,0,0,0,159,0,0.0013838,6.2e-06
1,5,1000,216,0,6,1000,6,1000,0,0,0,0,11,0,0.0037032000000000002,7.76e-05
2,5,1000,202,0,0,0,0,0,3,1143,0,0,51,12891,0.0031584,2.5e-05
3,5,1000,202,0,0,0,0,0,0,0,3,1149,23,12981,0.0035302,3.48e-05
0,5,10000,2001,0,0,0,0,0,0,0,0,0,1394,0,0.013267800000000001,8.8e-06
1,5,10000,2208,0,12,10000,12,10000,0,0,0,0,23,0,0.035750000000000004,7.879999999999999e-05
2,5,10000,2002,0,0,0,0,0,3,11490,0,0,83,138058,0.0560126,3.7199999999999996e-05
3,5,10000,2002,0,0,0,0,0,0,0,3,11562,37,138552,0.058272000000000004,6.159999999999999e-05
0,5,100000,20001,0,0,0,0,0,0,0,0,0,10034,0,0.11865,1.3199999999999999e-05
1,5,100000,22081,0,13,100000,13,100000,0,0,0,0,25,0,0.3462316,9.06e-05
2,5,100000,20002,0,0,0,0,0,4,114985,0,0,81,1471178,0.9360759999999999,3.26e-05
3,5,100000,20002,0,0,0,0,0,0,0,4,115738,35,1476633,1.2668354,3.6400000000000004e-05
0,5,1000000,200001,0,0,0,0,0,0,0,0,0,3891,0,1.1320634,3.7199999999999996e-05
1,5,1000000,220290,0,20,1000000,20,1000000,0,0,0,0,39,0,3.3532136,0.0001738
2,5,1000000,200002,0,0,0,0,0,5,1149986,0,0,29,15498641,10.94895,4.1200000000000005e-05
3,5,1000000,200002,0,0,0,0,0,0,0,5,1157483,22,15563436,15.197304399999998,4.48e-05
